"Jacqueline D. Reses > Square Financial Services, Inc. > Relationship TreeRelationship Types: Board/Professional/Personal Relationships with Priors",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Reses, Jacqueline D.",,,,,,,,,,,,,,
"Square Financial Services, Inc.",,,,,,,,,,,,,,
Chairman of the Board,,,,,,,,,,,,,,
Federal Reserve Bank of San Francisco,,,,,,,,,,,,,,
"Other Relationships: 3 Inside Board, 138 Outside Board, 31 Professional",,,,,,,,,,,,,,
,"Meyer, Barry M.",,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Talton, Carl ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Turner, Rosemary L. - United Parcel Service, Inc.: President",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Mehran, Alexander R.",,,,,,,,,,,,,
,Chairman of the Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Shorenstein, Douglas W. - Shorenstein Company LP: Former Chairman, Chief Executive Officer, and Member of the Advisory Board",,,,,,,,,,,,,
,Chairman of the Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Tang, David K. Y. - K&L Gates LLP: Managing Partner of Asia",,,,,,,,,,,,,
,Chairman of the Board (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Vallee, Roy A. - Avnet Technology Solutions, Inc.: Former Chairman & CEO",,,,,,,,,,,,,
,Chairman of the Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Yarrington, Patricia E. - Chevron Corporation: Former VP & CFO",,,,,,,,,,,,,
,Chairman of the Board (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Rogers, T. Gary - Shorenstein Company LP: Member of the Advisory Board",,,,,,,,,,,,,
,Co-Chairman of the Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Scalise, George Martin - Intermolecular, Inc.: Former Lead Independent Director",,,,,,,,,,,,,
,Co-Chairman of the Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Harris, Sheila D.",,,,,,,,,,,,,
,Vice Chairman (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Cleveland, Tom",,,,,,,,,,,,,
,Senior Key Executive (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Judd, John P.",,,,,,,,,,,,,
,Senior Key Executive (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Boyer, H. Roger - The Boyer Company, L.C.: Chairman of the Board & Founder",,,,,,,,,,,,,
,Unit Chairman (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Chen, David Y. - Equilibrium Capital Group, LLC: CEO, Chairman & Director",,,,,,,,,,,,,
,Unit Chairman (Prior),,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Glynn, William C. - Petroglyph Energy, Inc.: Vice Chairman and President of Intermountain Industries Inc",,,,,,,,,,,,,
,Unit Chairman (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Hymas, Scott L. - RC Willey Home Furnishings, Inc.: Chief Executive Officer",,,,,,,,,,,,,
,Unit Chairman (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Sale, Andrew J.",,,,,,,,,,,,,
,Unit Chairman (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Sandvik, Helvi Kay - Alaska Air Group, Inc.: Independent Director",,,,,,,,,,,,,
,Unit Chairman (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Goldsmith, Russell D. - Republic Pictures Corp.: Former Chairman and Chief Executive Officer",,,,,,,,,,,,,
,Other Key Executive (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Brophy, Stephen M. - Arizona Power Authority: Vice Chairman",,,,,,,,,,,,,
,Chairman of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Garufis, Janet A. - Montecito Bank & Trust: Chairman & CEO",,,,,,,,,,,,,
,Chairman of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Willey, Duff",,,,,,,,,,,,,
,Chairman of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Zinn, George  - Microsoft Corporation: Corporate VP & Treasurer",,,,,,,,,,,,,
,Chairman of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Blum, Richard Charles - Blum Capital Partners, L.P.: CEO, President, General Partner & Chairman",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Bochner, Steven E. - Wilson Sonsini Goodrich & Rosati, P.C.: Partner",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Boeka, Adriana M. - Southern Calif Bancorp: Director",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Bowman, Dann H. - Chino Commercial Bancorp: President, CEO & Director",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Boyer, Jake - The Boyer Company, L.C.: Executive Officer",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Bry, Barbara - Blackbird Ventures: Chief Operating Officer",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Chambers, Karla S. - Stahlbush Island Farms, Inc.: Co-Founder",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Clark, Ian T. - Blackstone Life Sciences: Former Operating Partner",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Clubb, Megan F. - Baker Boyer Bancorp: Chairwoman of the Board",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Collins, Paula Robinson - Presidio Trust: Chair",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Cunha, Manuel - Community Hospitals of Central California: Trustee",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Decker, Richard W. - Belvedere Capital Fund II-A, L.P.: Former Chairman and Co-Founder",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Doss, David E. - OneAZ Credit Union: Former President & CEO",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Dressel, Melanie J. - Columbia Banking System, Inc.: Former Executive Vice President",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Ecke, Paul  - The Paul Ecke Ranch Inc.: Former Chief Executive Officer",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Francis, Philip L. - At Home Group Inc.: Independent Director",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Galanti, Richard A. - Costco Wholesale Corporation: Executive VP, CFO & Director",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Gleason, Jack H.",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Grisham, Arnold T. - DataSight Corporation: Vice Chairman",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Harris, Jay T.",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Hartnack, Richard C. - Synchrony Financial: Independent Non Executive Chairman of the Board",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Hernández, Sandra R.",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Holley, Rick R. - Weyerhaeuser Company: Independent Non-Executive Chairman",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Horner, C. Alan - First Federal Savings Bank of Twin Falls: Former Director",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Hotchkiss, Malcolm F. - Golden Pacific Bank, N.A.: Executive VP & COO",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Jones, William D. - CityLink Investment Corporation: President, Chief Executive Officer and Director",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Lawer, Roxanna E. - First National Bank Alaska: Chair & CEO",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Mayne, Ed P.",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"McGee, Liam E. - The Hartford Financial Services Group, Inc.: Former Executive Chairman of the Board",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"McNally, Jack",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Myers, Daniel P. - Western Alliance Bancorporation: Executive Vice President of Northern California Administration",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Nordstrom, Blake W. - Nordstrom, Inc.: Former Co-President & Director",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"O'Neill, Michael E. - Citibank Europe plc, Sucursal en Espana: Chairman of the Board",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Packard, Matt Calvin - Central Bancorporation (Provo, UT): Chairman & CEO",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Paul, Vivek  - Akansa Capital: Founder",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 9 Professional,,,,,,,,,,,,,
,"Pike, Lynn Ann - Hiscox Ltd: Independent Non Executive Director",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Pugh, Mary E. - Pugh Capital Management, Inc.: Chief Executive Officer",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Rudd, James Harold - Ferguson Wellman Capital Management, Inc.: Director, CEO & Portfolio Manager",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Shepherd, J. Michael - Bank of the West: Chairman of the Board",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Steinwert, Kent A. - Farmers & Merchants Bancorp: Chairman, President & CEO",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Stuart, Robert A. - OnPoint Community Credit Union: President & CEO",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Stumpf, John G. - Wells Fargo Funding, LLC: Former President & CEO",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Taylor, Nicole C. - East Bay Community Foundation: Former Chief Executive Officer and President",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Thomas, Peter M. - Thomas & Mack Co, LLC: Managing Director",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Vice, Thomas E. - Northrop Grumman Aerospace Systems: President",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Wiest, Candace Diane Hunter - West Valley National Bank: Former President & CEO",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Wilcox, Kenneth Parmalee - SVB Financial Group: Chairman Emeritus",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Wilmoth, Stanley C. - Heritage Bank Of Nevada: Former President & CEO",,,,,,,,,,,,,
,Member of Advisory Board (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Wilson, Barbara L. - Highway 12 Ventures: Member of Advisory Board",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Young, Thomas C. - Northwest Bancshares Inc.: Former Chairman & President",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Ayer, William S. - Honeywell International Inc.: Independent Director",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Berenato, Joseph C. - The Growth Fund of America: Independent Director",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Carter, Carol - Ballet West: Member of General Board",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Cherashore, Grace Evans",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Dahlberg, Edwin E. - Vizient, Inc.: Former Director",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Hatch, Robert Allen - Regence BlueCross BlueShield of Utah: Former President",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Hinshaw, Roger W.",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Holoman, Eric Leon - EquiTrust Life Insurance Company, Inc.: CEO, President & Director",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Ivory, Clark - Ivory Homes, Ltd.: Chief Executive Officer",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Johansen, Judith Ann - Schnitzer Steel Industries, Inc.: Independent Director",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Leeds, Greg - Wizards of the Coast LLC: Chief Executive Officer",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"McNaughton, Stanley William - PEMCO Mutual Insurance Company: Chairman, President & CEO",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Mooney, Michael Mark - United Heritage Life Insurance Company: Director",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Nelson, Carol Kobuke - KeyBank National Association: Former Pacific Regional Sales Executive",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Ng, Dominic  - East West Bancorp, Inc.: Chairman, President & CEO",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Rainer, David I. - CU Bancorp: Former Chairman & CEO",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Robertson, Joseph E.",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Sanford, James L. - Northrop Grumman Corporation: Former Corporate Vice President",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Sewill, Ann E.",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Sznewajs, Robert D. - Banc of California, Inc.: Independent Chairman of the Board",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Wada, Albert T. - Wada Farms Marketing Group LLC: Chairman",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Whyte, W. Don",,,,,,,,,,,,,
,Unit Board Member (Prior),,,,,,,,,,,,,
